,agency,administering_org,primary_ownership_group,county,activity,category,activity_status,activity_acres,activity_end,shape_Length,shape_Area,source,project_type,activity_description,project_status,activity_start,date_proposed,date_certified,project_acres,fs_unit_name,fs_unit_id,rx_burn_id,gis_acres,rx_consum,pre_con_class,post_con_class,date_approved,date_expired,objective,activity_group,filter_year,department,cost_per_acre,id,Watershed,HUC8,WatershedGroup,category2,category3
3548,USDA,USFS,Federal,Siskiyou,Prescribed Fire-Riparian,Beneficial Fire,N/A,3.578835796245752,,1186.2548345483408,14494.575535833774,USFS Watershed Improvement Tracking (WIT),,Sawyers Underburn - Croaks - Riparian,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Prescribed Fire,,nan,,3549,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
6092,,"Josephine Creek Lodge Inc, Trinity S31 LLC, Henning S31 LLC, James & Cheryl Edwards Trust, et al","Josephine Creek Lodge Inc, Trinity S31 LLC, Henning S31 LLC, James & Cheryl Edwards Trust, et al",Siskiyou,Emergency Notice - Fire,Harvest,Complete,346.13514723,,5150.566899702758,1400759.2435780521,CAL FIRE Emergency Notices,,2021 Fires,,,,,,,,,,,,,2022.0,2023.0,Timber Harvest,Emergency Notice,2023.0,nan,,6093,Salmon,18010210,Klamath Watersheds,Harvest,Harvest
6926,,"Josephine Creek Lodge Inc, Trinity S31 LLC, Henning S31 LLC, James & Cheryl Edwards Trust, et al","Josephine Creek Lodge Inc, Trinity S31 LLC, Henning S31 LLC, James & Cheryl Edwards Trust, et al",Siskiyou,Reforestation After Emergency Notice - Fire,Reforestation,Complete,346.13514723,2024.0,5150.566899702758,1400759.2435780521,CAL FIRE Emergency Notices,,2021 Fires,,2023.0,,,,,,,,,,,2022.0,2023.0,Timber Harvest,Post-Harvest Reforestation,2024.0,nan,0.0,6927,Salmon,18010210,Klamath Watersheds,Reforestation,Reforestation
3369,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,1.141972853570752,,388.3518660609069,4625.0988743800635,USFS Watershed Improvement Tracking (WIT),,37N10 S1,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3370,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
4785,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,,2020.0,1751.387687941513,84713.35868690145,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,,,,,,,,,4480151000,20.93312644958496,,,,,,,Pile Burning,2020.0,USFS,,4786,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
3406,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,4.806179634014955,,1391.4168960433851,19465.456493063983,USFS Watershed Improvement Tracking (WIT),,1E003.1 S1,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3407,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3405,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,0.6014259106987282,,236.0810434984441,2435.825603052695,USFS Watershed Improvement Tracking (WIT),,1E003.1 S2,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3406,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3404,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,0.57637646355613,,211.3688784865687,2334.3758403451884,USFS Watershed Improvement Tracking (WIT),,1E003.5A,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3405,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3403,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,5.201036128536104,,1575.1501488223355,21064.651073164532,USFS Watershed Improvement Tracking (WIT),,1E003.5,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3404,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3402,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,3.499721921366527,,1046.7186629146631,14174.17613096803,USFS Watershed Improvement Tracking (WIT),,1E003.6,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3403,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3401,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,0.7533050120946256,,280.1940230651942,3050.9474714434045,USFS Watershed Improvement Tracking (WIT),,1E003.6A1,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3402,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3391,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,8.062663616953731,,2646.25890406665,32654.518853277554,USFS Watershed Improvement Tracking (WIT),,1E003.8,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3392,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3400,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,3.4157465199469463,,1046.2605896902328,13834.077587554128,USFS Watershed Improvement Tracking (WIT),,1E003.6A,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3401,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
4775,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,,2019.0,794.5713561276648,39060.15186756454,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,,,,,,,,,4480006000,9.651973724365234,,,,,,,Pile Burning,2019.0,USFS,,4776,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
4776,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,,2020.0,871.3729892137301,32778.036866970084,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,,,,,,,,,4480175000,8.099629402160645,,,,,,,Pile Burning,2020.0,USFS,,4777,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
4777,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,,2019.0,444.24562465480403,8375.794730446452,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,,,,,,,,,4480177000,2.069704055786133,,,,,,,Pile Burning,2019.0,USFS,,4778,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
4802,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,,2020.0,1396.6244025483059,61359.404535943395,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,,,,,,,,,4440228000,15.162239074707031,,,,,,,Pile Burning,2020.0,USFS,,4803,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
4796,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,13.0,2019.0,1538.8234099166848,54210.583444943026,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,REPETE MP STWD UNIT 57,,2019.0,,,,,,3933782010602,13.395727157592773,,,,,,,Pile Burning,2019.0,USFS,,4797,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
4797,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,5.0,2019.0,596.3440954609374,22091.975199567118,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,REPETE MP STWD UNIT 16,,2019.0,,,,,,3933732010602,5.459045886993408,,,,,,,Pile Burning,2019.0,USFS,,4798,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
4798,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,,2020.0,659.9118538547818,25653.254450894343,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,,,,,,,,,4440225000,6.339057445526123,,,,,,,Pile Burning,2020.0,USFS,,4799,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
4799,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,,2020.0,804.3020904129224,37927.79286361775,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,,,,,,,,,4440226000,9.372161865234375,,,,,,,Pile Burning,2020.0,USFS,,4800,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
4800,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,,2020.0,861.1427441008034,32996.41493076327,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,,,,,,,,,4440224000,8.153592109680176,,,,,,,Pile Burning,2020.0,USFS,,4801,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
4801,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,,2020.0,891.2012236320614,13584.500516140823,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,,,,,,,,,4440227000,3.3568031787872314,,,,,,,Pile Burning,2020.0,USFS,,4802,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
4803,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,11.0,2021.0,899.6708192516542,44331.00488081472,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,CECIL,,2021.0,,,,,,4440282000,10.954429626464844,,,,,,,Pile Burning,2021.0,USFS,,4804,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
4778,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,6.0,2019.0,668.5526669506717,24154.19146613263,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,PBURG UNIT 78,,2019.0,,,,,,3933771010602,5.968630790710449,,,,,,,Pile Burning,2019.0,USFS,,4779,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
4804,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,10.0,2021.0,1006.8504766662288,39605.20861589611,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,CECIL,,2021.0,,,,,,4440280000,9.786660194396973,,,,,,,Pile Burning,2021.0,USFS,,4805,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
4805,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,,2019.0,483.91106742440394,11625.164757937886,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,,,,,,,,,4380765000,2.87264084815979,,,,,,,Pile Burning,2019.0,USFS,,4806,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
3392,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,3.1631497071557635,,1042.666117931716,12811.041389279546,USFS Watershed Improvement Tracking (WIT),,38N01A,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3393,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3390,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,0.4755926118162134,,182.93712690524418,1926.1936590635978,USFS Watershed Improvement Tracking (WIT),,1E003.8A,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3391,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3381,USDA,USFS,Federal,Siskiyou,Prescribed Fire,Beneficial Fire,Complete,549.7548057832946,,36137.72054021752,2226551.5139718363,USFS Watershed Improvement Tracking (WIT),,050554 2015 Petersburg Pines Fuels Reduction,,2015.0,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Prescribed Fire,2015.0,nan,,3382,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
3375,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,2.4271238865052296,,879.654258931627,9830.071192711426,USFS Watershed Improvement Tracking (WIT),,1E003.3,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3376,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3434,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,3.787541202962215,,1253.2407068394364,15339.90781556766,USFS Watershed Improvement Tracking (WIT),,38N04.2,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3435,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
4811,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,61.0,2021.0,2890.2267758441817,248134.6110533256,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,ST. CLAIR,,2021.0,,,,,,4450283000,61.315399169921875,,,,,,,Pile Burning,2021.0,USFS,,4812,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
3409,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,0.7530730297422569,,254.29312013867772,3050.0176030276475,USFS Watershed Improvement Tracking (WIT),,38N07A.1,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3410,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3408,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,13.571089914593784,,4208.139566367285,54964.200328451996,USFS Watershed Improvement Tracking (WIT),,38N07B,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3409,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3407,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,6.414823059250618,,1915.0287397692412,25980.655104920515,USFS Watershed Improvement Tracking (WIT),,38N19,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3408,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3388,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,2.776337675921469,,901.2853828659812,11244.410746563331,USFS Watershed Improvement Tracking (WIT),,1E003.2,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3389,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3386,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,5.895977156088711,,1861.616881140685,23879.21700114836,USFS Watershed Improvement Tracking (WIT),,38N01.2,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3387,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
1043,USDA,USFS,FEDERAL,Siskiyou,PILING,Mechanical Fuels Reduction,Complete,8.0,2022.0,829.6352005847265,32227.33943376586,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Piling,2022.0,nan,,1044,Salmon,18010210,Klamath Watersheds,Mechanical Fuels Reduction,Mechanical Fuels Reduction
1044,USDA,USFS,FEDERAL,Siskiyou,COMM_THIN,Harvest,Complete,8.0,2022.0,829.6352005847265,32227.33943376586,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Commercial Thinning,2022.0,nan,,1045,Salmon,18010210,Klamath Watersheds,Harvest,Harvest
3385,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,2.242090591324511,,681.5824852866772,9080.661356314578,USFS Watershed Improvement Tracking (WIT),,37N03B,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3386,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3384,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,1.3928406729707319,,471.80718895851874,5641.119967061448,USFS Watershed Improvement Tracking (WIT),,38N27.1,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3385,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
4806,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,,2019.0,645.6879372926968,18003.538877439994,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,,,,,,,,,4380755000,4.4487714767456055,,,,,,,Pile Burning,2019.0,USFS,,4807,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
3383,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,2.3638501704187727,,749.1819791481903,9573.794059317517,USFS Watershed Improvement Tracking (WIT),,37N26.1,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3384,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3382,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,5.586955617752571,,1720.7467060081435,22627.652993121537,USFS Watershed Improvement Tracking (WIT),,38N27.10,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3383,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3380,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,5.9634391022854025,,2051.6204951429936,24152.382562530045,USFS Watershed Improvement Tracking (WIT),,37N65,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3381,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3379,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,2.6330306845670064,,916.5147178732536,10663.986513799253,USFS Watershed Improvement Tracking (WIT),,38N16A,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3380,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
3378,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,4.340844713772564,,1313.5895077480232,17580.780572966083,USFS Watershed Improvement Tracking (WIT),,37N01.1,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3379,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
1045,USDA,USFS,FEDERAL,Siskiyou,YARDING,Mechanical Fuels Reduction,Complete,24.0,2022.0,1723.2550153201655,97422.71347406575,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Yarding,2022.0,nan,,1046,Salmon,18010210,Klamath Watersheds,Mechanical Fuels Reduction,Mechanical Fuels Reduction
1046,USDA,USFS,FEDERAL,Siskiyou,COMM_THIN,Harvest,Complete,24.0,2022.0,1723.2550153201655,97422.71347406575,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Commercial Thinning,2022.0,nan,,1047,Salmon,18010210,Klamath Watersheds,Harvest,Harvest
3377,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,12.768319339068238,,3640.9571788409753,51712.73486827147,USFS Watershed Improvement Tracking (WIT),,37N01 S2,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3378,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
1047,USDA,USFS,FEDERAL,Siskiyou,PILING,Mechanical Fuels Reduction,Complete,18.0,2022.0,1809.3820123532971,73415.99625099637,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Piling,2022.0,nan,,1048,Salmon,18010210,Klamath Watersheds,Mechanical Fuels Reduction,Mechanical Fuels Reduction
3376,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,5.703819540542599,,1833.458669836043,23100.928229890636,USFS Watershed Improvement Tracking (WIT),,37N01 S1,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3377,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
1048,USDA,USFS,FEDERAL,Siskiyou,YARDING,Mechanical Fuels Reduction,Complete,18.0,2022.0,1809.3820123532971,73415.99625099637,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Yarding,2022.0,nan,,1049,Salmon,18010210,Klamath Watersheds,Mechanical Fuels Reduction,Mechanical Fuels Reduction
1049,USDA,USFS,FEDERAL,Siskiyou,COMM_THIN,Harvest,Complete,18.0,2022.0,1809.3820123532971,73415.99625099637,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Commercial Thinning,2022.0,nan,,1050,Salmon,18010210,Klamath Watersheds,Harvest,Harvest
3389,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,0.4003622731398764,,161.15394237177702,1621.5043534550155,USFS Watershed Improvement Tracking (WIT),,1E003.4A,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,3390,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
1042,USDA,USFS,FEDERAL,Siskiyou,YARDING,Mechanical Fuels Reduction,Complete,8.0,2022.0,829.6352005847265,32227.33943376586,Interagency Treatment Dashboard,,,,,,,,,,,,,,,,,,Yarding,2022.0,nan,,1043,Salmon,18010210,Klamath Watersheds,Mechanical Fuels Reduction,Mechanical Fuels Reduction
4807,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,,2019.0,746.7422336420511,27700.770930087616,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,,,,,,,,,4380755000,6.845009803771973,,,,,,,Pile Burning,2019.0,USFS,,4808,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
4809,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,73.0,2019.0,3726.4010982220852,294662.33506453317,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,PBURG UNIT 30,,2019.0,,,,,,3933754010602,72.8126449584961,,,,,,,Pile Burning,2019.0,USFS,,4810,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
5090,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,6.0,2018.0,865.4685902963149,24541.489274917592,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,SALMON SALVAGE U#352,,2018.0,,,,,,5490761010602,6.064333915710449,,,,,,,Pile Burning,2018.0,USFS,,5091,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
5089,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,17.0,2018.0,1549.6766603579827,67937.64689837351,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,SALMON SITE PREP,,2018.0,,,,,,5490131010602,16.787757873535156,,,,,,,Pile Burning,2018.0,USFS,,5090,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
5088,USDA,Klamath National Forest,,Siskiyou,Fire Use,Beneficial Fire,Complete,35.0,2021.0,1865.0670024491615,140509.58702321228,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,SALMON REFORESTATION,,2021.0,,,,,,4190326000,34.72067642211914,,,,,,,Prescribed Fire,2021.0,USFS,,5089,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
5087,USDA,Klamath National Forest,,Siskiyou,Fire Use,Beneficial Fire,Complete,7.0,2021.0,1082.5815797904297,29617.16912690769,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,SALMON SALV,,2021.0,,,,,,4190296000,7.318562030792236,,,,,,,Prescribed Fire,2021.0,USFS,,5088,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
5086,USDA,Klamath National Forest,,Siskiyou,Fire Use,Beneficial Fire,Complete,13.0,2021.0,1173.1198767928613,54128.54331928079,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,,,2021.0,,,,,,4240006000,13.37545394897461,,,,,,,Prescribed Fire,2021.0,USFS,,5087,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
5085,USDA,Klamath National Forest,,Siskiyou,Fire Use,Beneficial Fire,Complete,41.0,2021.0,2086.5186920597534,166387.77216516726,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,SALMON REFORESTATION,,2021.0,,,,,,4190304000,41.11531448364258,,,,,,,Prescribed Fire,2021.0,USFS,,5086,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
4812,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,14.0,2021.0,2035.6085328968338,55091.29610468846,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,REPETE PCT,,2020.0,,,,,,4450175000,13.61335563659668,,,,,,,Pile Burning,2021.0,USFS,,4813,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
4810,USDA,Klamath National Forest,,Siskiyou,Machine Pile Burn,Beneficial Fire,Complete,45.0,2019.0,1889.845386764232,183030.18522854094,Prescribed Fire Burns - California [ds397] - CDF-FRAP,,PBURG UNIT 55,,2019.0,,,,,,3933763010602,45.227745056152344,,,,,,,Pile Burning,2019.0,USFS,,4811,Salmon,18010210,Klamath Watersheds,Beneficial Fire,Beneficial Fire - Intentional
2837,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,1.993108219671545,,708.4920360804897,8072.28265066449,USFS Watershed Improvement Tracking (WIT),,39.32A,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,2838,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
2838,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,6.661715546887208,,1955.4617236055797,26980.595833767824,USFS Watershed Improvement Tracking (WIT),,39E.2,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,2839,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
2839,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,4.8064459048911,,1546.2080299082227,19466.567899713333,USFS Watershed Improvement Tracking (WIT),,39N58A,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,2840,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
2836,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,7.663507232894683,,2476.250446579551,31037.936877957407,USFS Watershed Improvement Tracking (WIT),,39E,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,2837,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
2835,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,2.4529142564621136,,755.2567733889266,9934.53726540988,USFS Watershed Improvement Tracking (WIT),,39.32,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,2836,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
2833,USDA,USFS,Federal,Siskiyou,Decommission,Restoration - Other,N/A,1.2474349384390604,,401.23940993186835,5052.228073196991,USFS Watershed Improvement Tracking (WIT),,39A.1,,,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Decommissioning,,nan,,2834,Salmon,18010210,Klamath Watersheds,Restoration - Other,Restoration - Other
2832,USDA,USFS,Federal,Siskiyou,Thinning-Precommercial,Mechanical Fuels Reduction,Complete,26.440473014294543,,2301.236308966181,107086.4496564984,USFS Watershed Improvement Tracking (WIT),,2017 Dog Paw Pre-commercial thinning,,2017.0,,,,KLAMATH NATIONAL FOREST,0505,,,,,,,,,Precommercial Thinning,2017.0,nan,,2833,Salmon,18010210,Klamath Watersheds,Mechanical Fuels Reduction,Mechanical Fuels Reduction
